"card","reports","age","income","share","expenditure","owner","selfemp","dependents","months","majorcards","active","S","Z","D1","D2","Y"
"yes",0,42.66667,5.14,0.008949417,37.58333,"yes","no",2,13,1,17,1,0,0,0,2.56148995250417
"yes",0,30.25,4.506,0.1337421,502.2017,"no","no",2,38,1,7,2,1,0,1,-1.66590575640403
"no",0,21.66667,3.84,0.0003125,0,"no","yes",1,12,0,1,5,0,1,1,-1.90243228163917
"yes",0,22.25,1.5,0.058608,73.17667,"no","no",0,64,1,6,1,1,0,0,3.59777662712656
"no",0,34.25,2.5,0.00048,0,"yes","no",1,12,1,0,2,1,0,1,-1.71466881560848
"yes",0,40,5.5,0.3344596,1532.773,"yes","no",4,74,1,19,1,0,0,0,4.71795977635021
"yes",0,21.83333,2.0272,0.02532014,42.69083,"no","no",0,9,0,5,4,0,0,1,0.520247382857978
"yes",1,29.41667,3.2,0.1567194,417.835,"no","no",0,14,1,6,4,1,0,1,-4.1409814655025
"no",1,24.91667,3.15,0.0003809524,0,"yes","no",1,40,1,5,4,0,0,1,-0.297990838376163
"yes",0,21,2.4663,0.2689328,552.7242,"yes","no",1,12,1,10,2,1,0,1,-1.61772145050725
"yes",0,23.83333,3,0.08901566,222.5392,"no","no",0,12,1,5,2,1,0,1,-1.71464493093961
"yes",0,42.83333,3.5412,0.1834562,541.2958,"yes","no",6,108,1,15,4,0,0,1,5.23846667062235
"no",0,42.58333,2.2845,0.000525279,0,"no","no",2,46,1,0,5,1,1,1,0.585251610209099
"yes",0,36.58333,5.7,0.1197419,568.7742,"yes","no",1,36,1,16,4,0,0,1,0.912241701809681
"yes",0,26.75,3.5,0.1181043,344.4708,"no","no",0,2,1,14,1,0,0,0,4.59422246064106
"yes",0,27.75,4.6,0.1057439,405.3517,"yes","no",4,28,1,13,2,0,0,0,-0.194829224519756
"yes",0,26.25,3,0.124375,310.9375,"yes","no",0,7,1,10,4,0,0,1,1.80043328910095
"yes",0,23.33333,2.585,0.02505764,53.645,"no","no",0,8,1,1,4,0,0,1,-4.65757158120607
"yes",0,29.91667,1.51,0.05125828,63.91667,"no","no",1,7,0,1,2,0,0,0,-1.62778656729478
"yes",0,30,1.85,0.1075816,165.855,"no","no",0,60,1,12,5,0,1,1,1.62793654876079
"yes",0,38.33333,2.6,0.004807692,9.583333,"no","no",0,12,1,1,4,1,0,1,-1.87308871156517
"no",0,28.16667,1.8,0.0006666667,0,"no","yes",2,26,1,2,4,1,0,1,3.24015259814699
"yes",0,35.58333,2,0.192044,319.49,"no","no",0,156,1,4,2,1,0,1,-2.06735417573498
"no",0,37.75,3.2628,0.0003677823,0,"no","no",1,98,0,1,5,0,1,1,-3.17074235016096
"yes",0,26.08333,2.35,0.04285106,83.08334,"no","no",1,30,0,2,4,1,0,1,-0.0791894466913282
"yes",0,27.75,7,0.1105849,644.8283,"yes","no",0,0,1,13,4,1,0,1,-6.48729574002703
"no",0,49.75,3.6,0.0003333333,0,"no","no",2,12,0,0,3,1,1,1,3.92103444641034
"yes",0,24.25,2,0.0559685,93.1975,"no","no",0,18,1,12,4,1,0,1,-2.74618107751041
"yes",0,20.66667,1.7,0.07420824,105.045,"no","no",0,6,1,4,4,1,0,1,-3.50241820093961
"yes",0,23.75,2.8,0.014875,34.125,"no","no",2,48,1,8,5,0,1,1,3.44882764411841
"yes",0,25.75,2.4,0.02071958,41.18917,"no","no",0,34,1,2,2,1,0,1,-2.32543694638686
"yes",1,32.91667,3,0.068022,169.8883,"no","no",0,216,0,5,1,0,0,0,1.83037141591341
"yes",0,34.33333,4.8,0.4745083,1898.033,"no","no",3,12,1,1,4,0,0,1,-0.425267126180418
"yes",0,33.25,3.18,0.3058082,810.3917,"no","no",4,18,0,3,5,1,1,1,3.1389393920668
"no",0,44.66667,1.8,0.0006666667,0,"no","no",2,33,0,0,3,0,0,0,0.627473696899881
"yes",0,21.16667,1.5,0.02655333,32.775,"no","no",0,20,1,4,5,1,1,1,-0.976906828608781
"yes",2,25.08333,3,0.038453,95.79916,"no","no",0,8,0,4,3,1,1,1,3.56338461005038
"yes",0,27.16667,2.28,0.01492807,27.78,"no","no",3,36,1,5,2,0,0,0,-1.27775944515304
"yes",0,26.41667,2.8,0.0921725,215.0692,"no","no",1,12,1,16,5,1,1,1,0.682261693606075
"yes",0,22,2.7,0.03544926,79.51083,"no","no",0,3,1,0,4,0,0,1,-0.179306827601555
"no",3,27.33333,4.9,0.000244898,0,"yes","no",2,16,1,15,1,0,0,0,4.57246508678391
"no",0,26.16667,2.5,0.00048,0,"no","yes",0,18,0,0,5,0,1,1,0.360712888601909
"yes",0,40.75,6,0.06123966,306.0317,"no","yes",2,182,1,16,2,1,0,1,-2.18505732118852
"yes",0,42.08333,3.9,0.03221615,104.5358,"no","no",0,78,1,2,4,1,0,1,-3.22411314079246
"no",0,21.66667,5.1,0.0002352941,0,"no","no",0,25,1,0,4,1,0,1,2.06078405738987
"yes",0,24.66667,3.074,0.2508032,642.4742,"no","no",0,4,1,0,3,1,1,1,4.49169743987558
"yes",0,30.75,2.4585,0.1503596,308.0492,"yes","no",2,53,1,16,3,1,1,1,4.25381256299582
"yes",0,27.41667,2,0.111812,186.3533,"no","no",0,9,1,5,5,0,1,1,1.09881237936842
"yes",0,33,3.248,0.02089871,56.14917,"no","no",2,144,0,2,1,0,0,0,3.86254993530052
"yes",0,37.33333,2.725,0.05719193,129.3733,"no","no",2,13,1,14,4,0,0,1,-1.43925643311086
"yes",0,26.58333,2.2,0.05078546,93.10667,"no","no",0,144,1,10,2,0,0,0,-0.00335677608064455
"no",1,24.33333,4.1,0.0002926829,0,"no","no",1,5,0,4,4,0,0,1,3.50024980561966
"yes",0,24.25,3.75,0.09367893,292.6633,"no","no",0,18,1,11,1,1,0,0,0.213985270243561
"yes",0,25.25,2.88,0.04106146,98.46416,"no","no",0,7,1,0,4,0,0,1,-4.42249701050114
"yes",0,0.5,3.05,0.1017243,258.5492,"no","no",1,94,1,5,4,0,0,1,-0.115653061305653
"yes",0,32.83333,2.55,0.04792941,101.6833,"no","no",2,6,1,18,4,1,0,1,0.884609667141195
"no",0,32.75,4,3e-04,0,"no","no",2,25,1,0,1,0,0,0,1.8539064362759
"yes",1,54.58333,2.64,0.02984697,65.24667,"yes","no",1,78,1,19,4,0,0,1,-0.610597489826038
"yes",0,19.58333,1.65,0.07904787,108.6075,"no","no",0,37,1,8,3,1,1,1,3.63196309491349
"yes",0,29.33333,2.4,0.02494458,49.55583,"no","no",0,30,1,4,2,0,0,0,-1.22880161596614
"no",3,40.16667,3.7099,0.0003234589,0,"no","no",2,15,1,11,4,1,0,1,-6.15891087552166
"yes",0,40.75,7.24,0.03904502,235.5717,"yes","no",2,177,1,13,5,0,1,1,4.62156412405667
"no",0,41.25,4.386,0.0002735978,0,"yes","no",3,172,1,9,5,0,1,1,0.778395288304343
"no",0,34.5,3.3,0.0003636364,0,"yes","no",2,33,0,18,5,0,1,1,1.72051089983155
"no",0,23.66667,2.304,0.0005208334,0,"no","no",1,12,1,0,4,0,0,1,4.496210682656
"no",1,53.66667,4.18,0.0002870813,0,"no","no",1,288,1,2,4,1,0,1,0.473060276294792
"no",2,34,2.4875,0.0004824121,0,"no","no",1,87,1,3,5,0,1,1,3.11309673206056
"no",0,44.91667,2.8055,0.0004277313,0,"yes","no",5,4,1,0,3,1,1,1,4.4441672332017
"yes",0,43.41667,2.4,0.03435875,68.38417,"no","no",0,12,1,0,4,1,0,1,-3.363099196717
"no",4,35.16667,1.5,8e-04,0,"no","no",1,7,1,9,4,1,0,1,1.66691821653558
"no",2,35.83333,8.4,0.0001428571,0,"no","no",2,69,1,12,2,0,0,0,-1.31449476760247
"yes",0,21.66667,1.56,0.0007692308,0,"no","no",0,12,1,2,4,0,0,1,-0.249238733525909
"yes",1,32.66667,6,0.09483,474.15,"yes","no",0,48,1,6,3,0,0,0,0.700619295628657
"yes",1,25.41667,3.6,0.07804389,234.0483,"no","no",2,12,1,4,4,0,0,1,0.755666912176086
"yes",0,26.25,5,0.1082892,451.205,"yes","no",0,5,1,16,2,1,0,1,-1.39974190648991
"yes",0,46,5.5,0.05487727,251.5208,"yes","no",2,161,1,7,2,1,0,1,-1.37371357054929
"yes",1,35,9.9999,0.1101059,917.54,"yes","no",0,72,1,29,4,0,0,1,1.85487514736032
"no",0,35,4.55,0.0002637363,0,"yes","no",3,36,1,15,4,0,0,1,2.43274712121936
"no",0,20.91667,2.9,0.0004137931,0,"no","no",0,36,1,3,3,0,0,0,1.02004314422173
"yes",0,25.16667,1.8,0.09848222,147.7233,"no","no",0,1,0,9,4,1,0,1,-3.46155501448956
"yes",0,31.25,4.2,0.04768381,166.7267,"yes","no",0,53,1,0,1,0,0,0,3.68174939353022
"yes",0,23.16667,3.92,0.2269911,741.5042,"no","no",0,16,1,0,1,0,0,0,3.20341075466684
"yes",0,23,3.625,0.03514566,106.1692,"no","no",1,51,0,6,1,1,0,0,1.71544696598963
"yes",0,24.83333,2.48,0.1313552,271.4675,"no","no",0,18,1,0,2,0,0,0,-0.837585416593023
"yes",0,40.91667,9.9999,0.07620686,635.0508,"yes","no",3,120,1,17,3,0,0,0,0.887027105796324
"yes",0,43.66667,10.0393,0.02186308,182.825,"yes","no",1,12,1,18,4,0,0,1,2.45012462635177
"yes",0,23.08333,2.95,0.03642203,89.37083,"yes","no",0,12,1,17,4,0,0,1,-3.42155183191407
"yes",0,41.91667,5,0.24272,1011.333,"no","no",1,36,1,5,1,1,0,0,4.63734154231024
"yes",0,28.16667,2.4,0.1137675,227.3683,"no","no",0,1,1,29,1,1,0,0,2.90440618111441
"yes",0,45.58333,13.5,0.01031111,115.4167,"yes","no",2,126,1,9,4,0,0,1,0.519633834328697
"no",3,25.91667,4,3e-04,0,"no","no",0,36,0,5,4,0,0,1,-4.36357903407446
"yes",1,37.33333,3.9,0.0916836,297.9717,"no","no",0,51,1,4,5,1,1,1,-0.485838351259553
"yes",1,37.66667,2,0.0608075,101.2625,"yes","no",3,42,1,3,2,1,0,1,-1.89316431108625
"yes",0,30.25,2.15,0.03192233,56.69417,"no","no",0,12,1,4,2,1,0,1,-2.56017638510972
"yes",0,21.25,3,0.030976,77.35667,"no","no",2,18,0,2,2,1,0,1,-1.83460611038395
"yes",0,40.08333,4.3,0.03419023,122.515,"no","no",0,108,1,4,5,1,1,1,0.411019778279269
"no",4,23.41667,9.9999,0.0001200012,0,"no","no",2,27,1,5,4,1,0,1,-1.4507047531702
"yes",0,21.83333,2.5,0.0067932,13.4025,"no","no",0,32,1,3,4,1,0,1,-2.95625255561713
"yes",0,22.16667,3,0.05111367,127.5342,"no","no",0,120,1,11,2,1,0,1,-1.57292241861123
"yes",0,40.83333,2.6,0.004230769,8.333333,"yes","no",0,52,1,3,4,0,0,1,2.21600558977145
"yes",1,18.66667,1.66,0.0568759,78.42834,"yes","no",0,51,1,2,1,0,0,0,2.65102160819483
"yes",0,34.33333,4.5,0.0032,11.16667,"yes","yes",4,30,1,6,4,0,0,1,5.31580219909525
"yes",0,25.08333,5,0.0316508,131.8783,"no","no",0,38,1,16,2,1,0,1,-1.33359261572059
"yes",0,20.08333,1.74,0.1919466,277.9892,"no","no",0,8,1,11,5,0,1,1,6.18759386889901
"yes",0,24.75,1.875,0.08070774,126.0225,"no","no",1,14,0,1,2,0,0,0,-0.643377701309756
"yes",0,41.91667,3,0.095609,238.8558,"yes","no",3,120,0,0,3,0,0,0,0.509050684129481
"no",5,31.08333,4.2,0.0002857143,0,"no","no",3,52,0,19,4,0,0,1,-1.66136577704606
"no",0,53.33333,4.9,0.000244898,0,"yes","yes",0,108,0,1,4,0,0,1,-2.1034368664335
"yes",0,24.25,2.13,0.02122066,37.08333,"no","no",1,13,1,4,2,0,0,0,-0.795843540713206
"no",1,25.41667,1.7,0.0007058823,0,"no","no",2,8,0,11,1,0,0,0,4.05290401267231
"yes",0,21.83333,1.68,0.1119048,156.5833,"no","no",0,18,0,2,1,1,0,0,5.22304446114516
"no",0,20.58333,2.64,0.0004545455,0,"no","no",3,7,1,1,4,0,0,1,0.326950788267838
"yes",0,18.41667,1.968,0.006455285,9.753333,"no","no",0,114,0,2,1,1,0,0,3.42850168136646
"yes",0,22,3.3,0.03947758,108.3967,"no","no",0,6,1,8,1,1,0,0,4.05633848190141
"yes",0,21.41667,1.5896,0.2052491,271.5533,"no","no",0,180,1,16,4,0,0,1,-4.19675213989783
"yes",0,42,3.6,0.01785056,53.30167,"no","yes",0,41,0,14,4,1,0,1,-6.59731903062552
"yes",0,36.41667,3,0.1130587,282.5633,"no","no",2,16,1,6,4,0,0,1,-6.51277437221944
"yes",0,41.5,3.8,0.08315605,263.3275,"no","no",0,67,1,4,4,1,0,1,-0.256901408506656
"yes",0,26.5,3.36,0.002625298,6.5175,"no","no",0,12,1,4,1,1,0,0,2.69591472803638
"no",2,33.16667,2.3204,0.0005171522,0,"no","no",0,62,0,3,2,0,0,0,-0.686513349047771
"yes",0,43.08333,7.8,0.006685513,43.03917,"yes","no",0,60,0,2,1,0,0,0,3.14183987006652
"yes",0,30.33333,2.5,0.0356228,73.7975,"yes","yes",3,30,1,9,4,0,0,1,-1.76173268694765
"yes",0,25.08333,1.5,0.0128,15.41667,"no","no",1,12,1,7,4,0,0,1,1.37790246789679
"yes",0,35.66667,3.5822,0.1049978,313.3525,"yes","no",1,84,1,10,1,0,0,0,3.59297127076744
"yes",1,44.5,4,0.01795825,59.19417,"yes","no",0,36,1,13,4,0,0,1,-1.87000289229261
"yes",3,43.25,6.72,0.03142812,175.9975,"yes","no",3,30,1,27,5,0,1,1,2.43368153088908
"yes",2,50,4.3,0.03620279,129.3933,"yes","yes",1,264,1,15,3,1,1,1,4.64889952031402
"yes",0,31.75,3.5,0.01055514,30.36917,"yes","no",1,36,1,5,4,1,0,1,-0.516696908178335
"no",1,43.25,3.95,0.0003037975,0,"yes","no",2,27,1,4,3,0,0,0,1.72561135356659
"no",5,27.16667,4,3e-04,0,"yes","no",0,37,1,7,4,0,0,1,0.758263003868007
"yes",0,24.91667,2.4,0.23063,461.26,"no","no",1,164,0,1,5,1,1,1,0.413165992163223
"yes",0,49.66667,2.7,0.08877037,199.7333,"yes","no",0,120,0,3,4,1,0,1,-0.581069577576361
"yes",0,28.33333,6.6,0.007129848,38.71416,"no","no",2,55,1,7,2,0,0,0,-1.80198096697158
"yes",0,26.5,2.7,0.04111704,92.26334,"no","no",0,18,1,0,4,0,0,1,-7.55248182403892
"yes",0,29.41667,4.1,0.04264756,145.3792,"no","no",0,13,1,0,1,1,0,0,2.99831518198515
"yes",0,71.83334,7.701,0.06251058,400.9117,"yes","no",1,24,1,9,5,1,1,1,1.69790545430516
"yes",0,24.5,2.8,0.05955571,138.7133,"no","no",0,5,1,0,2,1,0,1,-1.99661521611278
"yes",0,25.08333,3.12,0.04245641,110.3033,"no","no",2,3,1,6,1,1,0,0,3.71827450655494
"yes",0,24.91667,2.3,0.02855478,54.64667,"no","no",0,30,1,2,4,1,0,1,-0.901630471257713
"yes",0,30.08333,3.67,0.001798365,4.583333,"yes","no",0,57,1,3,1,0,0,0,3.71798614675111
"no",0,32.58333,6.5,0.0001846154,0,"yes","no",0,50,1,6,3,1,1,1,4.41584508734881
"yes",0,23.08333,2.56,0.1502422,320.5167,"no","no",1,11,1,2,4,0,0,1,1.31176002683038
"yes",0,48.91667,3.5,0.067888,197.9233,"yes","no",0,48,1,9,3,1,1,1,4.96405914562465
"yes",0,25.33333,3.24,0.02563117,68.87083,"no","no",0,30,1,19,4,0,0,1,2.7525532925711
"yes",0,25.33333,3.48,0.05121034,148.26,"yes","no",0,14,1,5,3,0,0,0,-0.240959604474607
"yes",0,24.91667,2.938,0.02812798,68.53333,"no","no",0,14,1,0,2,0,0,0,-0.372571503901061
"no",1,29.16667,2.475,0.0004848485,0,"no","no",1,12,0,5,3,0,0,0,0.67331380304055
"no",5,28.58333,3.12,0.0003846154,0,"no","no",0,13,0,7,4,1,0,1,-2.19061050648327
"no",0,32.33333,2.5,0.00048,0,"no","no",1,60,1,0,4,1,0,1,0.575297148554364
"yes",0,26.5,3,0.04865566,121.5558,"yes","no",0,12,1,4,2,0,0,0,-0.755227991977687
"yes",0,34.33333,6,0.017262,86.22667,"yes","no",1,48,1,5,4,0,0,1,-0.11564286255297
"yes",0,28.41667,2.6,0.04854384,105.095,"yes","no",0,27,1,6,1,1,0,0,3.58434193260284
"yes",0,23.58333,3.9,0.01830487,58.99083,"no","no",1,14,1,7,3,1,1,1,4.10548116413632
"no",1,30.83333,2.5,0.00048,0,"no","no",0,18,1,6,1,1,0,0,2.82976565364149
"no",1,34.66667,3.3,0.0003636364,0,"no","no",3,48,0,3,4,1,0,1,-3.89635596959869
"yes",0,31.5,5.905,0.0251939,123.8917,"no","no",1,12,1,2,4,1,0,1,-3.35870137719635
"yes",1,36.16667,7.8,0.01210897,78.54166,"yes","no",1,24,1,18,5,1,1,1,-0.172238401720278
"no",3,32.41667,2.06,0.0005825243,0,"no","no",0,48,1,8,4,0,0,1,-4.82903658872981
"yes",0,31.25,5.6965,0.008123409,38.0625,"yes","yes",2,84,0,26,1,1,0,0,4.97365008215243
"yes",0,28.08333,2.16,0.02572685,46.14167,"no","no",2,7,1,0,5,0,1,1,1.48865127220365
"no",3,41.58333,4.6,0.0002608696,0,"no","no",0,57,1,3,3,1,1,1,4.95978635646845
"yes",0,21.75,3.5,0.090862,265.0142,"no","no",2,42,1,9,4,1,0,1,-2.15085453606617
"yes",0,30.25,2.55,0.03532235,74.72667,"yes","no",1,11,1,0,2,0,0,0,0.0340430651266392
"yes",0,43.5,1.7472,0.07401385,107.7642,"yes","no",0,18,0,2,5,0,1,1,2.40539782372879
"yes",0,29.58333,1.95,0.004564103,6.5,"yes","no",2,96,1,2,1,1,0,0,1.26763397142564
"yes",0,33.75,5,0.0501734,209.0558,"yes","no",3,10,1,10,4,1,0,1,-0.868078529449353
"yes",0,24.16667,2.8896,0.08017754,193.0675,"no","no",0,12,0,0,1,1,0,0,2.81994832555828
"yes",0,25.41667,2.7,0.06417074,144.3842,"yes","no",1,17,1,8,4,0,0,1,1.48482380290712
"yes",0,24.25,4,0.1076917,358.9725,"no","no",0,7,1,10,4,0,0,1,0.192081174889885
"yes",0,24.08333,2.3,0.03099,59.1475,"no","no",0,12,1,0,5,0,1,1,0.987844037784864
"yes",0,32,2.4,5e-04,0,"no","no",1,11,1,8,4,0,0,1,-0.549797687514903
"no",0,46.16667,2.6,0.0004615385,0,"no","no",0,61,1,8,3,0,0,0,0.799988382025067
"yes",0,21.91667,2.4,0.2326392,465.195,"yes","no",1,168,1,4,5,0,1,1,1.6897958354189
"yes",0,36.25,2.52,0.06781389,142.2425,"no","no",2,53,0,3,2,0,0,0,-1.82842689250007
"yes",0,23.83333,1.56,0.3860019,501.8025,"no","no",0,33,0,1,4,1,0,1,-3.30012010670861
"yes",0,49.41667,2.4,0.04437958,88.5925,"no","yes",0,14,1,6,2,0,0,0,-0.539703509418779
"yes",0,26.08333,2,0.1700255,282.8758,"no","no",0,2,1,2,1,1,0,0,3.65468928799794
"yes",1,29.16667,2.58,0.1680209,361.1617,"no","no",0,6,1,12,3,0,0,0,0.705710126138898
"yes",0,33,3.15,0.05726571,150.1767,"no","yes",0,128,0,3,1,1,0,0,3.77071860914835
"yes",0,29.33333,2.3,0.04004043,76.24416,"no","no",2,24,0,5,3,1,1,1,3.82743148901286
"yes",0,47.58333,4.65,0.01516022,58.24583,"no","no",2,25,1,11,2,1,0,1,-1.26628519590138
"yes",0,21.58333,3.12,0.03396795,88.23333,"no","no",0,56,1,3,4,0,0,1,0.882239000953018
"yes",0,30.41667,2,0.0048,7.083333,"yes","no",3,45,1,14,4,0,0,1,-3.12981866884916
"no",6,62.91667,2.55,0.0004705882,0,"no","no",2,20,0,13,2,0,0,0,-0.492289699569268
"yes",1,21.58333,2.46,0.1409972,289.0442,"no","no",1,4,1,11,2,0,0,0,-0.835980134085938
"yes",0,30.66667,3.8,0.03251895,102.9767,"no","no",0,26,0,1,4,0,0,1,-2.11458509433981
"yes",0,47.75,2.6372,0.006635826,13.91667,"yes","no",0,4,1,12,3,0,0,0,1.57811622996944
"yes",1,39.75,7,0.109958,641.4216,"yes","no",2,30,0,22,1,0,0,0,2.75734271145871
"no",0,53.16667,2.8,0.0004285714,0,"no","no",1,156,0,11,4,1,0,1,-2.05128605451535
"no",0,22.83333,3.1475,0.000381255,0,"no","no",2,19,0,0,4,1,0,1,1.32880066432072
"no",1,24.91667,6,2e-04,0,"no","no",2,17,1,2,2,0,0,0,-0.88628359725743
"yes",0,25.16667,3.25,0.03124,84.275,"no","no",0,6,1,17,2,0,0,0,-1.03323067448951
"yes",0,61.08333,4.32,0.03697246,132.8508,"yes","no",1,252,0,0,2,0,0,0,-0.82419320451289
"yes",0,29.16667,2.5,0.0767256,159.595,"no","no",0,7,1,21,3,1,1,1,3.54591109892312
"yes",0,35.33333,3,0.054018,135.045,"no","no",1,6,1,8,2,1,0,1,-2.14931206654529
"yes",0,26.08333,3.5,0.08595,250.5208,"no","no",0,52,1,2,2,0,0,0,0.0444694776853276
"yes",0,42.75,4.56,0.04965899,188.6208,"no","no",0,144,1,11,4,1,0,1,-3.73486604121692
"yes",0,27.58333,2.76,0.01036232,23.25,"no","no",0,30,1,1,5,0,1,1,-1.77464695383282
"yes",0,22.5,2.535,0.1013325,214.065,"yes","no",2,23,1,9,2,0,0,0,-0.618194641338072
"no",7,40.91667,3.2388,0.0003705076,0,"no","no",0,50,1,16,4,0,0,1,-5.47960561047434
"no",2,35.16667,3.84,0.0003125,0,"no","no",0,38,0,2,1,1,0,0,3.57825826490782
"yes",0,32.83333,1.32,0.03875531,42.63083,"no","no",1,6,1,2,5,1,1,1,-0.717966852529774
"no",0,25.83333,3.9,0.0003076923,0,"no","no",0,18,1,3,2,0,0,0,-1.24900466391402
"no",0,56.91667,2.04,0.0005882353,0,"yes","no",0,35,1,11,4,1,0,1,-4.80956526637106
"yes",1,30.16667,7.2904,0.07818501,474.5,"yes","no",4,43,1,14,5,1,1,1,-1.77133840221293
"yes",0,25.08333,7.5,0.04870107,304.3817,"yes","no",0,300,1,8,4,1,0,1,-7.17218461599986
"yes",0,34.58333,3.2604,0.02910716,78.75083,"no","no",1,31,1,6,4,1,0,1,0.507073214701548
"yes",0,24.66667,1.632,0.1754246,238.3275,"no","no",1,4,1,5,1,0,0,0,4.88265879830795
"yes",0,40.75,8,0.04667138,311.1425,"yes","no",2,38,1,0,4,1,0,1,0.726420949084459
"yes",0,31.33333,2.2,0.04216182,77.04667,"yes","no",2,17,1,16,4,1,0,1,2.23600595753469
"yes",0,27.83333,5,0.0289768,120.4033,"yes","no",1,24,1,0,1,1,0,0,2.35779669866965
"yes",0,30.83333,3,0.062629,156.5725,"yes","no",2,72,1,8,2,0,0,0,-1.81927881507529
"yes",0,46.25,2,0.00685,10.58333,"yes","no",0,76,1,1,1,1,0,0,1.70058964406235
"yes",0,20.5,1.54,0.08959676,114.8158,"no","no",0,6,1,2,4,0,0,1,0.114752393478155
"no",0,28,1.5,8e-04,0,"no","no",1,5,0,0,3,0,0,0,1.91313543408686
"yes",0,51.66667,3,0.07210633,179.7658,"yes","no",0,121,1,0,4,0,0,1,-1.81583639125721
"yes",1,41.83333,5,0.1501082,625.3675,"yes","no",3,84,1,7,4,0,0,1,-3.2996712245876
"yes",0,51.75,4.7232,0.02165545,84.9025,"yes","no",1,60,0,0,4,0,0,1,-2.41129502340824
"yes",0,53.5,1.5,8e-04,0,"yes","no",0,57,0,6,2,0,0,0,-1.48602513522285
"yes",0,26.08333,2.3,0.03560869,67.66666,"no","no",0,24,1,0,3,1,1,1,3.8185764055883
"yes",0,20.5,1.6,0.08383188,111.6925,"no","no",0,3,1,0,4,1,0,1,-7.58035797458172
"yes",0,27.75,2.2,0.1403464,257.3017,"no","no",0,3,0,1,4,1,0,1,6.1496259840793
"yes",0,23.25,4.32,0.1877141,675.7708,"no","no",2,36,1,11,5,0,1,1,2.30131774338416
"no",0,23.08333,2.6,0.0004615385,0,"no","yes",0,37,1,7,4,1,0,1,-2.69953828956387
"yes",0,20.33333,1.6752,0.1757384,245.3308,"no","no",0,10,1,0,4,0,0,1,-7.73201359315006
"yes",0,83.5,2.8725,0.005848564,13.33333,"yes","yes",0,38,0,11,2,0,0,0,-0.667412320330177
"yes",0,24.5,2.6,0.06905923,149.545,"no","yes",0,21,1,2,5,1,1,1,0.98613832016396
"yes",0,33.75,2.9,0.104841,253.3658,"yes","no",2,14,1,20,4,0,0,1,-7.63313953426149
"yes",0,25.08333,2.65,0.009650944,20.47917,"no","no",0,12,1,9,3,1,1,1,5.43079590570445
"yes",0,26.91667,1.9,0.02667368,41.81667,"no","no",0,18,1,9,2,1,0,1,-2.06941992271184
"yes",0,65.91666,2.95,0.04856136,118.7133,"yes","no",1,230,1,19,2,0,0,0,-0.983094362017857
"yes",0,21.58333,3.12,0.08677917,225.4592,"no","no",1,10,0,6,4,0,0,1,1.83651522430972
